,u,v,maxspeed,length,s_lat,s_lng,e_lat,e_lng
88,32,3221,45.0,87.51799999999999,-122.4687333,37.752212,-122.4691197,37.7529373
89,32,4334,45.0,124.84100000000004,-122.4687333,37.752212,-122.4676348,37.7516387
90,33,8635,45.0,11.125,-122.4690178,37.7508087,-122.4690369,37.7509076
91,33,5655,45.0,189.385,-122.4690178,37.7508087,-122.4708872,37.7508889
92,33,34,45.0,34.089,-122.4690178,37.7508087,-122.4686316,37.7508352
93,34,35,45.0,189.76500000000001,-122.4686316,37.7508352,-122.4685327,37.7492161
94,34,5885,45.0,285.762,-122.4686316,37.7508352,-122.4674013,37.7490316
95,34,33,45.0,34.089,-122.4686316,37.7508352,-122.4690178,37.7508087
96,35,34,45.0,189.765,-122.4685327,37.7492161,-122.4686316,37.7508352
97,36,37,45.0,207.334,-122.4684993,37.7489418,-122.4683702,37.74708
98,36,5354,45.0,93.826,-122.4684993,37.7489418,-122.4695653,37.7489068
99,36,5885,45.0,97.237,-122.4684993,37.7489418,-122.4674013,37.7490316
100,37,36,45.0,207.334,-122.4683702,37.74708,-122.4684993,37.7489418
101,37,1489,45.0,159.245,-122.4683702,37.74708,-122.4665996,37.7472974
102,37,8955,45.0,6.888999999999999,-122.4683702,37.74708,-122.4684417,37.7471018
103,38,38,45.0,69.604,-122.4711296,37.7863889,-122.4711296,37.7863889
104,38,541,45.0,94.23499999999999,-122.4711296,37.7863889,-122.470059,37.7864373
105,38,542,45.0,94.42200000000001,-122.4711296,37.7863889,-122.4722023,37.7863403
106,38,39,45.0,207.301,-122.4711296,37.7863889,-122.4709958,37.7845276
107,39,40,45.0,208.047,-122.4709958,37.7845276,-122.4708615,37.7826596
108,39,38,45.0,207.30100000000002,-122.4709958,37.7845276,-122.4711296,37.7863889
109,39,1211,45.0,94.452,-122.4709958,37.7845276,-122.4720688,37.7844788
110,39,1210,45.0,94.284,-122.4709958,37.7845276,-122.4699247,37.7845762
111,40,5351,45.0,94.48299999999999,-122.4708615,37.7826596,-122.4719349,37.7826118
112,40,6127,45.0,94.321,-122.4708615,37.7826596,-122.46979,37.7827083
113,40,6810,45.0,207.38,-122.4708615,37.7826596,-122.4707277,37.7807976
114,40,39,45.0,208.047,-122.4708615,37.7826596,-122.4709958,37.7845276
115,41,2679,45.0,94.537,-122.4705849,37.778812,-122.4716588,37.7787631
116,41,2678,45.0,94.414,-122.4705849,37.778812,-122.4695124,37.7788608
117,41,42,45.0,208.226,-122.4705849,37.778812,-122.4704505,37.7769424
118,41,6853,45.0,207.58,-122.4705849,37.778812,-122.4707189,37.7806758
119,42,5847,45.0,94.46100000000001,-122.4704505,37.7769424,-122.4693775,37.7769911
120,42,5352,45.0,94.57300000000001,-122.4704505,37.7769424,-122.4715248,37.7768937
121,42,43,45.0,207.591,-122.4704505,37.7769424,-122.4703166,37.7750785
122,42,41,45.0,208.226,-122.4704505,37.7769424,-122.4705849,37.778812
123,43,5353,45.0,94.595,-122.4703166,37.7750785,-122.4713911,37.7750296
124,43,6512,45.0,94.516,-122.4703166,37.7750785,-122.469243,37.7751274
125,43,8832,45.0,208.025,-122.4703166,37.7750785,-122.4701823,37.7732107
126,43,42,45.0,207.591,-122.4703166,37.7750785,-122.4704505,37.7769424
127,44,45,45.0,82.576,-122.4682103,37.7448686,-122.4681611,37.744127
128,45,44,45.0,82.576,-122.4681611,37.744127,-122.4682103,37.7448686
129,45,46,45.0,81.807,-122.4681611,37.744127,-122.4681124,37.7433923
130,45,5823,45.0,176.519,-122.4681611,37.744127,-122.4661642,37.7442903
131,46,6474,45.0,27.467,-122.4681124,37.7433923,-122.4678017,37.7434179
132,46,45,45.0,81.807,-122.4681124,37.7433923,-122.4681611,37.744127
133,46,5347,45.0,94.273,-122.4681124,37.7433923,-122.4691826,37.743342
134,47,6926,45.0,10.056,-122.4696804,37.7658342,-122.4696741,37.7657439
135,47,2160,65.0,94.097,-122.4696804,37.7658342,-122.4707492,37.7657869
136,48,7672,45.0,200.62,-122.469545,37.7639075,-122.46942,37.762106
137,48,6926,45.0,204.514,-122.469545,37.7639075,-122.4696741,37.7657439
138,48,5348,45.0,94.23100000000001,-122.469545,37.7639075,-122.4706153,37.7638603
139,48,6094,45.0,94.363,-122.469545,37.7639075,-122.4684732,37.7639549
140,49,5349,45.0,94.271,-122.4692852,37.7601763,-122.4703559,37.7601289
141,49,6513,45.0,94.331,-122.4692852,37.7601763,-122.4682138,37.7602235
142,49,50,45.0,207.873,-122.4692852,37.7601763,-122.4691548,37.7583097
143,49,7070,45.0,200.59,-122.4692852,37.7601763,-122.469411,37.7619775
144,50,51,45.0,207.617,-122.4691548,37.7583097,-122.4690246,37.7564454
145,50,49,45.0,207.873,-122.4691548,37.7583097,-122.4692852,37.7601763
146,50,1024,45.0,94.33699999999999,-122.4691548,37.7583097,-122.470226,37.7582599
147,50,1023,45.0,94.281,-122.4691548,37.7583097,-122.468084,37.7583569
148,51,8940,45.0,94.398,-122.4690246,37.7564454,-122.4700967,37.7563982
149,51,8937,45.0,94.221,-122.4690246,37.7564454,-122.4679545,37.7564925
150,51,50,45.0,207.617,-122.4690246,37.7564454,-122.4691548,37.7583097
151,51,52,45.0,135.21200000000002,-122.4690246,37.7564454,-122.4689545,37.7552316
152,52,401,45.0,97.71600000000001,-122.4689545,37.7552316,-122.4700302,37.7554422
153,52,51,45.0,135.212,-122.4689545,37.7552316,-122.4690246,37.7564454
154,53,54,35.0,20.928,-122.4084965,37.7749327,-122.4083293,37.7747987
155,54,53,35.0,20.928,-122.4083293,37.7747987,-122.4084965,37.7749327
156,54,55,45.0,68.857,-122.4083293,37.7747987,-122.4077779,37.7743588
157,55,3593,45.0,94.178,-122.4077779,37.7743588,-122.4085358,37.7737601
158,56,57,45.0,57.474000000000004,-122.4815695,37.7906893,-122.4809354,37.790563
159,56,2740,45.0,224.157,-122.4815695,37.7906893,-122.4822935,37.7887596
160,56,9549,45.0,175.539,-122.4815695,37.7906893,-122.4810574,37.7922152
161,57,58,45.0,8.831,-122.4809354,37.790563,-122.4808543,37.7906099
162,57,3954,45.0,55.773,-122.4809354,37.790563,-122.4810111,37.790065
163,57,56,45.0,57.474000000000004,-122.4809354,37.790563,-122.4815695,37.7906893
164,58,57,45.0,8.831,-122.4808543,37.7906099,-122.4809354,37.790563
165,59,5322,45.0,405.21500000000003,-122.3864495,37.7111539,-122.3908983,37.7103454
166,59,60,45.0,650.4780000000001,-122.3864495,37.7111539,-122.3900339,37.7161347
167,59,89,45.0,1533.4920000000002,-122.3864495,37.7111539,-122.3863094,37.7171906
168,60,7714,45.0,9.805,-122.3900339,37.7161347,-122.3899678,37.7162057
169,60,59,45.0,650.4780000000001,-122.3900339,37.7161347,-122.3864495,37.7111539
170,60,23,45.0,207.23999999999998,-122.3900339,37.7161347,-122.391593,37.7175125
171,61,23,45.0,87.99,-122.3924653,37.7178997,-122.391593,37.7175125
172,61,62,45.0,14.886000000000001,-122.3924653,37.7178997,-122.39261,37.7179691
173,62,1793,45.0,84.419,-122.39261,37.7179691,-122.3920565,37.7185891
174,62,63,45.0,100.39999999999999,-122.39261,37.7179691,-122.393545,37.718487
175,62,9182,45.0,55.723,-122.39261,37.7179691,-122.3929618,37.7175528
176,62,61,45.0,14.886,-122.39261,37.7179691,-122.3924653,37.7178997
177,63,64,45.0,206.455,-122.393545,37.718487,-122.3954611,37.7195594
178,63,62,45.0,100.39999999999999,-122.393545,37.718487,-122.39261,37.7179691
179,63,806,45.0,85.5,-122.393545,37.718487,-122.393005,37.7191263
180,64,63,45.0,206.455,-122.3954611,37.7195594,-122.393545,37.718487
181,64,6979,45.0,118.999,-122.3954611,37.7195594,-122.396563,37.7201803
182,64,6187,45.0,84.77199999999999,-122.3954611,37.7195594,-122.3960193,37.718938
183,64,2596,45.0,87.169,-122.3954611,37.7195594,-122.394878,37.7201917
184,65,5584,45.0,247.85999999999999,-122.397309,37.7206065,-122.3996007,37.7208905
185,65,5724,45.0,36.792,-122.397309,37.7206065,-122.39708,37.7208831
186,65,7897,45.0,90.71199999999999,-122.397309,37.7206065,-122.3981471,37.7210817
187,65,7896,45.0,60.331,-122.397309,37.7206065,-122.3967511,37.7202911
188,66,5591,45.0,80.9,-122.4501293,37.7204823,-122.4509487,37.7208128
189,66,5338,45.0,81.69800000000001,-122.4501293,37.7204823,-122.4493019,37.7201484
190,66,8236,45.0,154.925,-122.4501293,37.7204823,-122.4493321,37.7217247
191,67,5337,45.0,81.79799999999999,-122.450852,37.7193559,-122.450024,37.719021
192,67,66,45.0,140.45900000000003,-122.450852,37.7193559,-122.4501293,37.7204823
193,67,900,45.0,277.526,-122.450852,37.7193559,-122.452668,37.7173803
194,67,6277,45.0,80.526,-122.450852,37.7193559,-122.451667,37.7196858
195,68,6359,45.0,81.187,-122.4562632,37.7965829,-122.457089,37.79691
196,68,69,45.0,302.46000000000004,-122.4562632,37.7965829,-122.4576569,37.7941248
197,68,184,45.0,33.396,-122.4562632,37.7965829,-122.4558876,37.7965605
198,69,68,45.0,302.46,-122.4576569,37.7941248,-122.4562632,37.7965829
199,70,7114,45.0,38.815,-122.426389,37.7336837,-122.4261204,37.7339607
200,70,4070,45.0,119.92,-122.426389,37.7336837,-122.42504,37.7335453
201,70,2963,45.0,394.605,-122.426389,37.7336837,-122.4291659,37.7308965
202,70,71,45.0,117.309,-122.426389,37.7336837,-122.4277144,37.733566
203,71,5054,45.0,62.866,-122.4277144,37.733566,-122.4276309,37.7330045
204,71,72,45.0,76.178,-122.4277144,37.733566,-122.4285745,37.7334845
205,71,70,45.0,117.309,-122.4277144,37.733566,-122.426389,37.7336837
206,71,5053,45.0,118.099,-122.4277144,37.733566,-122.427413,37.7345217
207,72,8603,45.0,76.039,-122.4285745,37.7334845,-122.429433,37.733403
208,72,8603,45.0,304.696,-122.4285745,37.7334845,-122.429433,37.733403
209,72,71,45.0,76.178,-122.4285745,37.7334845,-122.4277144,37.733566
210,72,4119,45.0,129.321,-122.4285745,37.7334845,-122.42875,37.7346392
211,73,755,45.0,53.588,-122.4311489,37.73318,-122.4310745,37.7327019
212,73,8605,45.0,77.197,-122.4311489,37.73318,-122.430294,37.7333214
213,73,74,45.0,76.037,-122.4311489,37.73318,-122.4319773,37.7330011
214,74,73,45.0,76.037,-122.4319773,37.7330011,-122.4311489,37.73318
215,74,75,45.0,85.197,-122.4319773,37.7330011,-122.4328258,37.7333561
216,75,7815,45.0,12.101,-122.4328258,37.7333561,-122.4328983,37.7332636
217,75,7816,45.0,33.325,-122.4328258,37.7333561,-122.4331925,37.7334317
218,75,190,45.0,115.083,-122.4328258,37.7333561,-122.4316382,37.733783
219,76,7161,45.0,10.724,-122.4341379,37.7336038,-122.4341673,37.7335102
220,76,77,45.0,77.529,-122.4341379,37.7336038,-122.4349924,37.7337754
221,76,2150,45.0,33.232,-122.4341379,37.7336038,-122.434058,37.7338959
222,77,7162,45.0,12.046,-122.4349924,37.7337754,-122.4350256,37.7336703
223,77,4141,45.0,33.43,-122.4349924,37.7337754,-122.4349004,37.7340671
224,77,8356,45.0,76.204,-122.4349924,37.7337754,-122.4358414,37.7339126
225,78,7163,45.0,7.394,-122.4366692,37.7340737,-122.4366886,37.734009
226,78,8144,45.0,249.37799999999996,-122.4366692,37.7340737,-122.4393453,37.7347756
227,79,80,45.0,220.964,-122.4399937,37.7348747,-122.4419063,37.7359776
228,79,83,45.0,149.588,-122.4399937,37.7348747,-122.438435,37.7343496
229,79,4880,45.0,100.571,-122.4399937,37.7348747,-122.4410957,37.7349852
230,79,8604,45.0,12.877,-122.4399937,37.7348747,-122.4399432,37.7349834
231,80,8427,45.0,83.52499999999999,-122.4419063,37.7359776,-122.4416087,37.7366713
232,80,79,45.0,220.964,-122.4419063,37.7359776,-122.4399937,37.7348747
233,80,7023,45.0,262.19499999999994,-122.4419063,37.7359776,-122.4436261,37.7365048
234,81,3946,45.0,74.028,-122.4316897,37.7316437,-122.4314161,37.7310141
235,82,257,65.0,793.3170000000001,-122.432147,37.7322495,-122.4405741,37.7297331
236,82,146,65.0,398.0079999999999,-122.432147,37.7322495,-122.4365434,37.7315777
237,83,7638,45.0,31.413,-122.438435,37.7343496,-122.4385189,37.734075
238,83,7163,45.0,158.179,-122.438435,37.7343496,-122.4366886,37.734009
239,84,85,45.0,203.52200000000002,-122.455928,37.708354,-122.4576804,37.709549
240,84,5075,45.0,67.88300000000001,-122.455928,37.708354,-122.455431,37.708821
241,85,84,45.0,203.52200000000002,-122.4576804,37.709549,-122.455928,37.708354
242,85,3201,45.0,140.942,-122.4576804,37.709549,-122.4592385,37.7096633
243,85,4998,65.0,78.809,-122.4576804,37.709549,-122.4582605,37.7090089
244,85,7703,65.0,79.891,-122.4576804,37.709549,-122.457058,37.710061
245,86,9639,45.0,212.133,-122.3719647,37.733143,-122.3733653,37.7315898
246,87,9639,45.0,85.709,-122.3739205,37.7309563,-122.3733653,37.7315898
247,87,5043,45.0,202.181,-122.3739205,37.7309563,-122.3757873,37.7320175
248,87,5042,45.0,206.957,-122.3739205,37.7309563,-122.372006,37.729874
249,88,7732,35.0,187.603,-122.3779849,37.7266122,-122.379697,37.727618
250,89,9243,45.0,82.63,-122.3863094,37.7171906,-122.3857607,37.7177937
251,89,2324,45.0,60.589999999999996,-122.3863094,37.7171906,-122.3868718,37.7175052
252,89,59,45.0,1533.492,-122.3863094,37.7171906,-122.3864495,37.7111539
253,90,9247,45.0,87.019,-122.3851901,37.7184431,-122.3846138,37.7190792
254,90,9243,45.0,87.941,-122.3851901,37.7184431,-122.3857607,37.7177937
255,90,9246,45.0,54.406,-122.3851901,37.7184431,-122.3856937,37.7187272
256,91,92,45.0,366.9530000000001,-122.4500385,37.7511437,-122.4495919,37.7541308
257,91,2825,45.0,147.291,-122.4500385,37.7511437,-122.4502638,37.7498373
258,91,2826,45.0,318.338,-122.4500385,37.7511437,-122.450025,37.7539356
259,92,91,45.0,366.953,-122.4495919,37.7541308,-122.4500385,37.7511437
260,92,8689,45.0,283.761,-122.4495919,37.7541308,-122.449573,37.7558895
261,92,2826,45.0,43.828,-122.4495919,37.7541308,-122.450025,37.7539356
262,93,7826,65.0,14.838999999999999,-122.4535131,37.7445991,-122.4536402,37.7445113
263,93,6030,45.0,109.443,-122.4535131,37.7445991,-122.4546264,37.7446753
264,94,4086,45.0,115.98,-122.4526894,37.7438716,-122.4516395,37.744503
265,94,5991,45.0,85.145,-122.4526894,37.7438716,-122.4534726,37.7434229
266,94,8428,45.0,113.502,-122.4526894,37.7438716,-122.4516137,37.7436084
267,94,6965,45.0,95.792,-122.4526894,37.7438716,-122.4533468,37.7445585
268,95,5035,45.0,29.009,-122.4301235,37.7644163,-122.4297945,37.7644367
269,95,96,45.0,36.916,-122.4301235,37.7644163,-122.430091,37.7640853
270,95,3032,45.0,69.894,-122.4301235,37.7644163,-122.4309164,37.7643693
271,96,95,45.0,36.916,-122.430091,37.7640853,-122.4301235,37.7644163
272,97,207,65.0,363.31999999999994,-122.4016133,37.7778393,-122.398188,37.7795605
273,97,6571,65.0,835.226,-122.4016133,37.7778393,-122.3950027,37.7832173
274,98,207,45.0,271.39099999999996,-122.400319,37.7778095,-122.398188,37.7795605
275,98,6571,65.0,791.424,-122.400319,37.7778095,-122.3950027,37.7832173
276,98,641,45.0,67.005,-122.400319,37.7778095,-122.3997752,37.7773873
277,98,118,45.0,191.964,-122.400319,37.7778095,-122.401857,37.7790353
278,99,7763,45.0,51.252,-122.4259102,37.7746045,-122.4260018,37.7750597
279,99,2196,45.0,52.097,-122.4259102,37.7746045,-122.4258171,37.7741418
280,99,2912,65.0,142.623,-122.4259102,37.7746045,-122.4243081,37.7748083
281,100,7290,65.0,15.040999999999999,-122.423325,37.7718656,-122.423402,37.7719864
282,100,8270,65.0,84.72200000000001,-122.423325,37.7718656,-122.422636,37.7723984
283,101,5253,45.0,28.636,-122.4198591,37.7703896,-122.4197717,37.7706376
284,102,7877,65.0,203.56699999999998,-122.4080303,37.7391115,-122.4076986,37.740917
285,103,8063,45.0,31.32,-122.467236,37.7996087,-122.4673998,37.7993627
286,103,2368,45.0,230.95900000000003,-122.467236,37.7996087,-122.4670228,37.8016779
287,103,8669,45.0,450.4259999999999,-122.467236,37.7996087,-122.46356,37.801642
288,103,2752,45.0,242.877,-122.467236,37.7996087,-122.4691454,37.8009653
289,104,3382,45.0,47.173,-122.474293,37.719809,-122.474722,37.7195545
290,104,6716,45.0,154.44600000000003,-122.474293,37.719809,-122.4745433,37.7211641
291,105,9261,45.0,73.316,-122.3940468,37.7852059,-122.3946383,37.784741
292,105,9105,45.0,114.97699999999999,-122.3940468,37.7852059,-122.3931245,37.7859393
293,105,7941,65.0,227.01600000000002,-122.3940468,37.7852059,-122.3915731,37.7855764
294,106,8052,65.0,64.065,-122.432678,37.712886,-122.4319661,37.7127816
295,107,9287,45.0,18.578,-122.4330165,37.7127244,-122.4328264,37.7126516
296,107,2980,45.0,77.56700000000001,-122.4330165,37.7127244,-122.433453,37.7121183
297,108,129,45.0,119.462,-122.4939058,37.7332051,-122.4938307,37.7321324
298,108,7470,65.0,142.925,-122.4939058,37.7332051,-122.4942739,37.7338148
299,109,110,65.0,86.547,-122.4055609,37.7491621,-122.4065082,37.748957
300,110,6779,65.0,23.369,-122.4065082,37.748957,-122.4067218,37.7488329
301,110,6081,45.0,95.306,-122.4065082,37.748957,-122.4069318,37.7497446
302,111,6238,45.0,100.10799999999999,-122.4067512,37.7487187,-122.4063179,37.7478862
303,111,199,65.0,34.385000000000005,-122.4067512,37.7487187,-122.4063861,37.7488295
304,112,3985,65.0,141.71800000000002,-122.4027136,37.7520812,-122.402861,37.7533449
305,113,112,65.0,301.961,-122.4029714,37.7495355,-122.4027136,37.7520812
306,113,5809,65.0,215.715,-122.4029714,37.7495355,-122.4053526,37.7491264
307,114,5810,65.0,108.57999999999998,-122.4035409,37.7490088,-122.402533,37.749384
308,115,114,65.0,201.75199999999995,-122.4038924,37.7498639,-122.4035409,37.7490088
309,115,6780,65.0,232.27200000000005,-122.4038924,37.7498639,-122.404051,37.7484136
310,116,115,65.0,184.50900000000001,-122.4033474,37.7514659,-122.4038924,37.7498639
311,116,117,65.0,209.928,-122.4033474,37.7514659,-122.40411,37.7496784
312,117,5809,65.0,129.61399999999998,-122.40411,37.7496784,-122.4053526,37.7491264
313,117,7919,65.0,123.47699999999999,-122.40411,37.7496784,-122.405365,37.7495773
314,118,98,45.0,191.96399999999997,-122.401857,37.7790353,-122.400319,37.7778095
315,118,3588,45.0,66.727,-122.401857,37.7790353,-122.4023944,37.7786114
316,118,4240,45.0,68.162,-122.401857,37.7790353,-122.402394,37.7794765
317,119,118,65.0,636.9010000000001,-122.3963904,37.7823664,-122.401857,37.7790353
318,119,8028,65.0,681.798,-122.3963904,37.7823664,-122.4019545,37.7780943
319,120,8003,45.0,83.074,-122.4743876,37.7175065,-122.4753237,37.7174073
320,120,6079,45.0,69.657,-122.4743876,37.7175065,-122.4742835,37.7168855
321,120,744,45.0,239.45100000000002,-122.4743876,37.7175065,-122.4755262,37.7189669
322,121,5461,45.0,266.759,-122.491574,37.7337798,-122.4923034,37.7319795
323,121,6953,45.0,21.070999999999998,-122.491574,37.7337798,-122.4914549,37.7339411
324,121,5460,45.0,196.32399999999998,-122.491574,37.7337798,-122.4914547,37.7320168
325,122,2096,45.0,84.511,-122.4048807,37.768536,-122.4039224,37.7685976
326,122,7718,45.0,75.084,-122.4048807,37.768536,-122.4057325,37.7684859
327,122,5330,45.0,142.689,-122.4048807,37.768536,-122.404757,37.7672565
328,122,5329,45.0,132.239,-122.4048807,37.768536,-122.4049953,37.7697218
329,123,124,65.0,98.319,-122.4043129,37.7463266,-122.4038324,37.7460665
330,123,225,65.0,129.491,-122.4043129,37.7463266,-122.4042207,37.7451801
331,124,9179,65.0,137.699,-122.4038324,37.7460665,-122.40367,37.7472927
332,125,727,35.0,40.409,-122.3967418,37.7431804,-122.3970077,37.742884
333,125,719,45.0,159.184,-122.3967418,37.7431804,-122.3982582,37.743958
334,125,4787,35.0,62.862,-122.3967418,37.7431804,-122.3963162,37.7436346
335,126,2615,45.0,75.678,-122.460801,37.8000521,-122.4610145,37.7993977
336,126,2622,45.0,49.233999999999995,-122.460801,37.8000521,-122.4608307,37.8004941
337,126,127,35.0,33.573,-122.460801,37.8000521,-122.4611674,37.7999664
338,126,2623,35.0,26.476,-122.460801,37.8000521,-122.4605109,37.8001165
339,127,7599,35.0,27.15,-122.4611674,37.7999664,-122.4614655,37.7999021
340,127,126,35.0,33.573,-122.4611674,37.7999664,-122.460801,37.8000521
341,128,129,65.0,238.83100000000002,-122.495416,37.73375,-122.4938307,37.7321324
