Current_Node,Adjacent_Node,Transition_Probability
6454,6465,0.33246753246753247
6454,7072,0.4038961038961039
6454,8371,0.00909090909090909
6454,6504,0.015584415584415584
6454,28302,0.21168831168831168
6454,558,0.0025974025974025974
6454,7073,0.007792207792207792
6454,7071,0.006493506493506494
6454,8364,0.003896103896103896
6454,32810,0.0012987012987012987
6454,23780,0.0012987012987012987
6454,23778,0.0012987012987012987
6454,8369,0.0012987012987012987
6454,16861,0.0012987012987012987
6465,32810,0.28651685393258425
6465,6454,0.47752808988764045
6465,6504,0.11235955056179775
6465,19225,0.0014044943820224719
6465,4544,0.008426966292134831
6465,23780,0.009831460674157303
6465,7081,0.0014044943820224719
6465,558,0.037921348314606744
6465,7072,0.03089887640449438
6465,28302,0.011235955056179775
6465,23778,0.009831460674157303
6465,7077,0.0014044943820224719
6465,5494,0.0014044943820224719
6465,8371,0.0014044943820224719
6465,16861,0.0028089887640449437
6465,8364,0.0014044943820224719
6465,7085,0.0014044943820224719
6465,7073,0.0014044943820224719
6465,8367,0.0014044943820224719
32810,4544,0.09137931034482759
32810,23780,0.13620689655172413
32810,558,0.23620689655172414
32810,6454,0.01206896551724138
32810,6465,0.35172413793103446
32810,6504,0.10344827586206896
32810,23778,0.03793103448275862
32810,7083,0.006896551724137931
32810,7071,0.0017241379310344827
32810,5494,0.0034482758620689655
32810,19225,0.0034482758620689655
32810,16861,0.0017241379310344827
32810,4547,0.0017241379310344827
32810,7081,0.01206896551724138
4544,5499,0.9111111111111111
4544,23781,0.0031746031746031746
4544,26284,0.006349206349206349
4544,23778,0.009523809523809525
4544,23780,0.02857142857142857
4544,7081,0.006349206349206349
4544,6465,0.012698412698412698
4544,558,0.006349206349206349
4544,31170,0.0031746031746031746
4544,7083,0.0031746031746031746
4544,6504,0.0031746031746031746
4544,6454,0.0031746031746031746
4544,5494,0.0031746031746031746
5499,23781,0.4358108108108108
5499,23780,0.060810810810810814
5499,26284,0.037162162162162164
5499,5497,0.006756756756756757
5499,5500,0.0777027027027027
5499,558,0.02702702702702703
5499,23778,0.02364864864864865
5499,5494,0.016891891891891893
5499,6504,0.04391891891891892
5499,34303,0.0033783783783783786
5499,6465,0.0033783783783783786
5499,31170,0.037162162162162164
5499,29072,0.016891891891891893
5499,32810,0.05405405405405406
